5up,2530,1843,2107,,,2404
Aimsey,1617,1696,,1683,1714,1987
Antfrost,2871,3307,,3340,,2485
AntVenom,,,1805,1940,1679,
Awesamdude,,1851,,,,1886
BadBoyHalo,,,1532,,,1343
BajanCanadian,,,,,,920
Bekyamon,1747,1756,1674,1883,1283,
CapitanGato,,,1979,1401,,
CaptainPuffy,1432,1702,,1112,,
CaptainSparklez,1663,1897,2165,1898,2397,2163
Cubfan135,1819,2113,1949,,1466,
DarkEyebrows,,,1447,1024,1032,
ElainaExe,1584,,1444,1120,,
Eret,1156,,1422,1752,,1959
Etho,,,,,1445,
FalseSymmetry,1805,1490,,,1647,
FireBreathMan,2774,3496,2782,3418,3285,3486
FoolishGamers,1842,,,,,
fruitberries,2724,2763,2611,3590,3772,3132
GeeNelly,1739,,,,,
GeminiTay,,,,1687,,2128
GeorgeNotFound,1180,,,,,
GoodTimesWithScar,1297,1041,1556,1321,1607,1463
Guqqie,,,,1217,1275,1518
Hannahxxrose,,2270,2578,,1678,2078
HBomb94,2388,2518,2033,2682,,
Illumina,,2538,2627,,2442,2722
impulseSV,1341,1197,,1483,1784,
InTheLittleWood,,2401,,,,2236
JackManifoldTV,1396,,1641,,1327,
JeromeASF,,,,,,828
jojosolos,3119,2820,2663,,2660,3681
KaraCorvus,1329,1676,1722,1827,,1773
Krinios,,,2327,,2067,
Krtzyy,2413,2886,2263,2005,,
KryticZeuZ,,,1721,,,
Michaelmcchill,1166,1715,1661,,,1639
MythicalSausage,,,1428,1192,,
OllieGamerz,,,2200,,1660,2246
OrionSound,,1903,,1720,2143,2399
OwengeJuice,,,,2183,2450,
PearlescentMoon,,,,,1876,
PeteZahHutt,3059,2806,2633,2826,2846,3042
Ph1LzA,2675,2360,2206,,1920,
Ponk,1537,,,,1420,
PrestonPlayz,,,,,,1165
Punz,2628,2281,2198,,2887,2741
Purpled,3003,3350,3867,3492,3235,2665
Ranboo,2843,2346,,2624,1922,2222
RedVelvetCake,,2176,2203,1557,,2256
Ryguyrocky,1849,,1766,2558,,1554
Sapnap,2627,3192,3042,2439,2821,2886
SB737,,1794,,2187,,
Seapeekay,2136,2373,2291,2641,2369,
Shadoune666,,1635,2344,1713,2590,2938
Shubble,1304,1763,,1525,,1911
Skeppy,,,1566,,,1686
Smajor1995,2151,2078,1798,2077,2375,2166
Smallishbeans,2249,,,2065,1960,2561
Sneegsnag,1636,,1593,2086,1888,
Snifferish,801,1513,1934,1247,1388,
SolidarityGaming,1347,2045,,2158,,2023
Sylvee,,1596,1540,,1194,
TapL,,,,2126,,
TommyInnit,,1659,,,1367,
Tubbo,1965,1939,,2189,1864,2123
vGumiho,1159,1953,,,1613,2003
Vikkstar,,,,,,1144
Wallibear,,,2664,2196,1910,2422
